survey_year,indicator_name,values,country_name,hdi_category,reference
,HDI rank,1,Iceland,HIGH HUMAN DEVELOPMENT,
,HDI rank,2,Norway,HIGH HUMAN DEVELOPMENT,
,HDI rank,3,Australia,HIGH HUMAN DEVELOPMENT,
,HDI rank,4,Canada,HIGH HUMAN DEVELOPMENT,
,HDI rank,5,Ireland,HIGH HUMAN DEVELOPMENT,
,HDI rank,6,Sweden,HIGH HUMAN DEVELOPMENT,
,HDI rank,7,Switzerland,HIGH HUMAN DEVELOPMENT,
,HDI rank,8,Japan,HIGH HUMAN DEVELOPMENT,
,HDI rank,9,Netherlands,HIGH HUMAN DEVELOPMENT,
,HDI rank,10,France,HIGH HUMAN DEVELOPMENT,
,HDI rank,11,Finland,HIGH HUMAN DEVELOPMENT,
,HDI rank,12,United States,HIGH HUMAN DEVELOPMENT,
,HDI rank,13,Spain,HIGH HUMAN DEVELOPMENT,
,HDI rank,14,Denmark,HIGH HUMAN DEVELOPMENT,
,HDI rank,15,Austria,HIGH HUMAN DEVELOPMENT,
,HDI rank,16,United Kingdom,HIGH HUMAN DEVELOPMENT,
,HDI rank,17,Belgium,HIGH HUMAN DEVELOPMENT,
,HDI rank,18,Luxembourg,HIGH HUMAN DEVELOPMENT,
,HDI rank,19,New Zealand,HIGH HUMAN DEVELOPMENT,
,HDI rank,20,Italy,HIGH HUMAN DEVELOPMENT,
,HDI rank,21,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,
,HDI rank,22,Germany,HIGH HUMAN DEVELOPMENT,
,HDI rank,23,Israel,HIGH HUMAN DEVELOPMENT,
,HDI rank,24,Greece,HIGH HUMAN DEVELOPMENT,
,HDI rank,25,Singapore,HIGH HUMAN DEVELOPMENT,
,HDI rank,26,Korea (Republic of),HIGH HUMAN DEVELOPMENT,
,HDI rank,27,Slovenia,HIGH HUMAN DEVELOPMENT,
,HDI rank,28,Cyprus,HIGH HUMAN DEVELOPMENT,
,HDI rank,29,Portugal,HIGH HUMAN DEVELOPMENT,
,HDI rank,30,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,
,HDI rank,31,Barbados,HIGH HUMAN DEVELOPMENT,
,HDI rank,32,Czech Republic,HIGH HUMAN DEVELOPMENT,
,HDI rank,33,Kuwait,HIGH HUMAN DEVELOPMENT,
,HDI rank,34,Malta,HIGH HUMAN DEVELOPMENT,
,HDI rank,35,Qatar,HIGH HUMAN DEVELOPMENT,
,HDI rank,36,Hungary,HIGH HUMAN DEVELOPMENT,
,HDI rank,37,Poland,HIGH HUMAN DEVELOPMENT,
,HDI rank,38,Argentina,HIGH HUMAN DEVELOPMENT,
,HDI rank,39,United Arab Emirates,HIGH HUMAN DEVELOPMENT,
,HDI rank,40,Chile,HIGH HUMAN DEVELOPMENT,
,HDI rank,41,Bahrain,HIGH HUMAN DEVELOPMENT,
,HDI rank,42,Slovakia,HIGH HUMAN DEVELOPMENT,
,HDI rank,43,Lithuania,HIGH HUMAN DEVELOPMENT,
,HDI rank,44,Estonia,HIGH HUMAN DEVELOPMENT,
,HDI rank,45,Latvia,HIGH HUMAN DEVELOPMENT,
,HDI rank,46,Uruguay,HIGH HUMAN DEVELOPMENT,
,HDI rank,47,Croatia,HIGH HUMAN DEVELOPMENT,
,HDI rank,48,Costa Rica,HIGH HUMAN DEVELOPMENT,
,HDI rank,49,Bahamas,HIGH HUMAN DEVELOPMENT,
,HDI rank,50,Seychelles,HIGH HUMAN DEVELOPMENT,"h,k"
,HDI rank,51,Cuba,HIGH HUMAN DEVELOPMENT,
,HDI rank,52,Mexico,HIGH HUMAN DEVELOPMENT,
,HDI rank,53,Bulgaria,HIGH HUMAN DEVELOPMENT,
,HDI rank,54,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,"h,p"
,HDI rank,55,Tonga,HIGH HUMAN DEVELOPMENT,
,HDI rank,56,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,
,HDI rank,57,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,"h,p"
,HDI rank,58,Oman,HIGH HUMAN DEVELOPMENT,
,HDI rank,59,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,
,HDI rank,60,Romania,HIGH HUMAN DEVELOPMENT,
,HDI rank,61,Saudi Arabia,HIGH HUMAN DEVELOPMENT,
,HDI rank,62,Panama,HIGH HUMAN DEVELOPMENT,
,HDI rank,63,Malaysia,HIGH HUMAN DEVELOPMENT,
